"Name","StudentTotal","InternationalStudentTotal","FacultyTotal","Tuition","Street","City","State","Locale","longitude","latitude"
"University of Minnesota-Duluth","12722","300","1393","25290.0","515 Darland Administration Bldg","Duluth","Minnesota","city","-92.0844331","46.8170318"
"University of Minnesota-Twin Cities","64349","5582","10759","29050.0","100 Church Street SE","Minneapolis","Minnesota","city","-93.23451089999999","44.9758602"
"University of St Thomas - Saint Paul, Minnesota","12164","360","1281","46700.0","2115 Summit Ave","Saint Paul","Minnesota","city","-93.18971390000002","44.9441221"
"Winona State University","9691","318","1002","25460.0","8th and Johnson St","Winona","Minnesota","town","-91.6462614","44.0493081"
"Lindenwood University","17309","1151","732","30560.0","209 S Kingshighway","Saint Charles","Missouri","city","-90.497036","38.785579"
"Maryville University of Saint Louis","4444","67","342","38916.0","650 Maryville University Drive","Saint Louis","Missouri","suburb","-90.5054432","38.6468582"
"Missouri Baptist University","5914","61","225","34190.0","One College Park Dr","Saint Louis","Missouri","suburb","-90.46325680000001","38.6415281"
"Missouri State University","23399","1328","2103","23640.0","901 S National","Springfield","Missouri","city","-93.27858119999999","37.1985841"
"Rockhurst University","3425","15","375","41513.0","1100 Rockhurst Rd","Kansas City","Missouri","city","-94.5709368","39.0306761"
"Southwest Baptist University","4499","40","384","27750.0","1600 University Ave","Bolivar","Missouri","town","-93.41143339999999","37.6015836"
"University of Missouri-Columbia","35788","1932","9390","34669.0","105 Jesse Hall","Columbia","Missouri","city","-92.328801","38.945325"
"University of Missouri-Kansas City","20512","1267","3870","39014.0","5100 Rockhill Rd","Kansas City","Missouri","city","-94.5762776","39.03366949999999"
"University of Missouri-St Louis","21177","706","1599","39956.0","One University Boulevard","Saint Louis","Missouri","suburb","-90.30828","38.7092401"
"Washington University in St Louis","15185","2022","9054","58901.0","One Brookings Drive","Saint Louis","Missouri","suburb","-90.31079620000001","38.6487895"
"Webster University","26006","205","576","40413.0","470 E Lockwood Ave.","Saint Louis","Missouri","suburb","-90.34555519999999","38.5905285"
"Delta State University","5270","83","549","25027.0","Hwy 8 West","Cleveland","Mississippi","town","-90.72484639999999","33.7477916"
"Jackson State University","9565","0","1134","26736.0","1440 J R Lynch St","Jackson","Mississippi","city","-90.2110957","32.297684"
"Mississippi College","5789","286","582","24853.0","200 South Capitol Street","Clinton","Mississippi","suburb","-90.33187749999999","32.3360631"
"University of Mississippi","19911","883","2337","37848.0","Oxford- Mississippi","University","Mississippi","town","-89.5253597","34.3659395"
"William Carey University","5704","138","393","23922.0","19640 Highway 67","Biloxi","Mississippi","city","-89.05058299999999","30.5731296"
"Montana State University","15427","557","2138","31272.0","Montana State University","Bozeman","Montana","town","-111.04981","45.6667557"
"University of Montana","13044","716","949","33495.0","105 International Center","Missoula","Montana","city","-113.9852081","46.8600672"
"Campbell University Inc","7384","246","645","39960.0","450 Leslie Campbell Ave","Buies Creek","North Carolina","rural","-78.7387515","35.406744"
"Duke University","16638","2647","10536","57325.0","103 Allen Bldg","Durham","North Carolina","city","-78.9375022","36.0011043"
"East Carolina University","31334","460","4842","31407.0","East 5th Street","Greenville","North Carolina","city","-77.3559964","35.6066409"
"Elon University","6010","72","1092","40471.0","100 Campus Drive","Elon","North Carolina","suburb","-79.5045112","36.1048942"
"Fayetteville State University","7206","29","840","23088.0","1200 Murchison Rd","Fayetteville","North Carolina","city","-78.8973915","35.0756408"
"Gardner-Webb University","5552","14","459","33130.0","Main St","Boiling Springs","North Carolina","rural","-81.6655755","35.2421079"
"North Carolina A & T State University","12611","288","1524","24355.0","1601 E Market  St","Greensboro","North Carolina","city","-79.7720482","36.0772801"
"North Carolina Central University","9967","73","1275","27526.0","1801 Fayetteville Street","Durham","North Carolina","city","-78.9001035","35.9725818"
"North Carolina State University at Raleigh","40165","3479","5208","32223.0","2101 Hillsborough Street","Raleigh","North Carolina","city","-78.6631364","35.78639709999999"
"University of North Carolina at Chapel Hill","32426","1720","9429","41140.0","103 South Bldg Cb 9100","Chapel Hill","North Carolina","city","-79.050072","35.9132961"
"University of North Carolina at Charlotte","29290","1600","2913","30025.0","9201 University City Blvd","Charlotte","North Carolina","city","-80.73088299999999","35.3068173"
"University of North Carolina at Greensboro","22740","642","2418","30429.0","1000 Spring Garden St","Greensboro","North Carolina","city","-79.80586799999999","36.066142"
"University of North Carolina-Wilmington","14964","129","1872","29153.0","601 South College Road","Wilmington","North Carolina","city","-77.87928","34.22714"
"Wake Forest University","7657","372","4854","56236.0","1834 Wake Forest Road","Winston Salem","North Carolina","city","-80.27086229999999","36.1348359"
"Western Carolina University","11379","513","1317","26344.0","1","Cullowhee","North Carolina","town","-83.18437809999999","35.3089224"
"Wingate University","2599","77","387","33700.0","220 North Camden Road","Wingate","North Carolina","town","-80.4465673","34.9858584"
"Winston-Salem State University","7465","159","1062","25046.0","601 Martin Luther King Jr Dr","Winston-Salem","North Carolina","city","-80.22481570000001","36.0868936"
"North Dakota State University","14516","0","618","30536.0","North Dakota State University","Fargo","North Dakota","city","-96.8031712","46.8962434"
"University of Mary","3934","2","303","22104.0","7500 University Dr","Bismarck","North Dakota","rural","-100.7531659","46.721353"
"University of North Dakota","16882","1331","2172","30567.0","University Station","Grand Forks","North Dakota","city","-97.06995189999999","47.9320091"
"Bellevue University","15251","326","263","8040.0","1000 Galvin Rd S","Bellevue","Nebraska","suburb","-95.9180528","41.1507402"
"Creighton University","8826","188","2169","45132.0","2500 California Plaza","Omaha","Nebraska","city","-95.9475985","41.2651072"
"University of Nebraska at Omaha","17617","765","1416","28380.0","6001 Dodge St","Omaha","Nebraska","city","-96.01071209999999","41.2581216"
"University of Nebraska-Lincoln","27443","1934","4797","32486.0","14th and R St","Lincoln","Nebraska","city","-96.701134","40.8169285"
"Dartmouth College","6580","872","2439","58638.0","None","Hanover","New Hampshire","town","-72.2886935","43.7044406"
"Franklin Pierce University","2866","85","303","43270.0","40 University Drive","Rindge","New Hampshire","rural","-72.0554831","42.7789401"
"New England College","2532","133","192","44854.0","98 Bridge St","Henniker","New Hampshire","rural","-71.82279559999999","43.1798819"
"Rivier University","3027","2","219","38883.0","420 South Main St","Nashua","New Hampshire","city","-71.457278","42.7386986"
"Southern New Hampshire University","3027","2","219","44533.0","2500 North River Rd","Manchester","New Hampshire","city","-71.45219940000001","43.04130869999999"
"University of New Hampshire-Main Campus","16798","409","2133","41820.0","105 Main St.- Thompson Hall","Durham","New Hampshire","suburb","-70.9324341","43.1359259"
"Caldwell University","2692","107","241","41190.0","120 Bloomfield Avenue","Caldwell","New Jersey","suburb","-74.272567","40.8343983"
"College of Saint Elizabeth","2279","81","216","42893.0","2 Convent Rd","Morristown","New Jersey","suburb","-74.4375773","40.7811869"
"Montclair State University","21834","848","1707","33156.0","1 Normal Avenue - 855 Valley Road","Montclair","New Jersey","suburb","-74.19855969999999","40.8644792"
"Princeton University","8004","1662","3796","53934.0","None","Princeton","New Jersey","suburb","-74.6514481","40.3439888"
"Rowan University","13176","183","1167","33651.0","201 Mullica Hill Road","Glassboro","New Jersey","suburb","-75.11777740000001","39.7086852"
"Rutgers University-Camden","7276","72","849","39740.0","406 Penn","Camden","New Jersey","city","-75.1213581","39.9478964"
"Rutgers University-New Brunswick","43885","2642","7461","40915.0","83 Somerset St","New Brunswick","New Jersey","city","-74.4467796","40.4981979"
"Rutgers University-Newark","14275","786","1650","41206.0","249 University Avenue- Blumenthal Hall","Newark","New Jersey","city","-74.17562459999999","40.7390478"
"Seton Hall University","11114","418","1368","49544.0","400 S Orange Ave","South Orange","New Jersey","suburb","-74.2460794","40.7425259"
"Stockton University ","9102","35","846","36331.0","Jim Leeds Rd","Pomona","New Jersey","rural","-74.5538949","39.478522"
"New Mexico State University-Main Campus","21692","1231","2448","31335.0","2850 Weddell Street","Las Cruces","New Mexico","suburb","-106.7530651","32.2825066"
"University of New Mexico-Main Campus","33304","1154","5367","32517.0","1","Albuquerque","New Mexico","city","-106.645018","35.0998516"
"University of Nevada-Las Vegas","36235","1850","2340","36459.0","4505 S Maryland Pky","Las Vegas","Nevada","city","-115.1384115","36.1058529"
"University of Nevada-Reno","21029","809","2445","35308.0","1664 N. Virginia Street","Reno","Nevada","city","-119.819372","39.545898"
"Adelphi University","10175","377","948","43860.0","South Ave","Garden City","New York","suburb","-73.6544273","40.7227835"
"Alfred University","2543","84","477","41082.0","One Saxon Drive","Alfred","New York","town","-77.786103","42.2558218"
"Bard College","3065","251","585","58292.0","30 Campus Rd","Annandale-On-Hudson","New York","town","-73.916647","42.0208225"
"Clarkson University","3456","364","685","51966.0","None","Potsdam","New York","town","-74.998544","44.66376109999999"
"Columbia University in the City of New York","27257","6371","10851","59208.0","116 St and Broadway","New York","New York","city","-73.96400840000001","40.8080586"
"Cornell University","21437","3826","7149","57125.0","Campus Information and Visitor Relations","Ithaca","New York","city","-76.480988","42.44726"
"CUNY Graduate School and University Center","7728","1044","585","12449.0","365 Fifth Ave","New York","New York","city","-73.9838783","40.7485794"
"D'Youville College","3735","722","522","35660.0","320 Porter Ave","Buffalo","New York","city","-78.890939","42.9025892"
"Dominican College of Blauvelt","2207","28","225","37420.0","470 Western Highway","Orangeburg","New York","suburb","-73.952747","41.0513059"
"Dowling College","6256","266","345","39600.0","150 Idle Hour Blvd","Oakdale","New York","suburb","-73.1481218","40.7422255"
"Fordham University","17437","1061","2024","58732.0","441 E Fordham Rd","Bronx","New York","city","-73.8892181","40.861203"
"Hofstra University","13128","563","1599","50146.0","100 Hofstra University","Hempstead","New York","suburb","-73.5994041","40.716792"
"Ithaca College","7420","178","1455","51152.0","953 Danby Rd","Ithaca","New York","suburb","-76.4969643","42.4199351"
"LIU Post (C.W. Post Campus of Long Island University)","12946","731","924","46840.0","720 Northern Blvd","Brookville","New York","suburb","-73.5900738","40.8172349"
"Long Island University-Brooklyn Campus","9771","572","918","46426.0","1 University Plaza","Brooklyn","New York","city","-73.9808893","40.6905175"
"Mercy College-Main Campus","13740","121","597","32984.0","555 Broadway","Dobbs Ferry","New York","suburb","-73.87331809999999","41.0219033"
"Molloy College","7052","16","522","41520.0","1000 Hempstead Ave","Rockville Centre","New York","suburb","-73.6249835","40.68614609999999"
"Nazareth College","3717","60","528","40766.0","4245 East Ave","Rochester","New York","suburb","-77.5169235","43.101447"
"New York Institute of Technology","11729","1829","819","44280.0","16 W. 61st Street","New York","New York","suburb","-73.982923","40.769824"
"New York University","50444","6873","14379","46768.0","70 Washington Sq South","New York","New York","city","-73.9972145","40.7294229"
"Pace University-New York","15402","799","1221","49802.0","1 Pace Plaza","New York","New York","city","-74.0047403","40.7109684"
"Polytechnic Institute of New York University","4853","1791","501","51362.0","Six Metrotech Ctr","Brooklyn","New York","city","-73.98657899999999","40.6942036"
"Rensselaer Polytechnic Institute","6744","754","1440","57179.0","110 8th St","Troy","New York","city","-73.6772829","42.7292744"
"Russell Sage College","3558","19","417","41700.0","45 Ferry St","Troy","New York","city","-73.69137529999999","42.7278801"
"Saint John Fisher College","4328","19","651","38570.0","3690 East Ave","Rochester","New York","suburb","-77.511753","43.1159106"
"St. John's University-New York","23737","1579","1887","53037.0","8000 Utopia Pky","Queens","New York","city","-73.7946869","40.721591"
"Stony Brook University","29576","3490","4671","29786.0","2401 Computer Science Building","Stony Brook","New York","suburb","-73.1236589","40.9126957"
"SUNY at Albany","20035","1907","1773","28872.0","1400 Washington Avenue","Albany","New York","city","-73.8203027","42.6895995"
